index,name,address,link_full,link_current,google_place_id,formatted_address,latitude,longitude,cin,established_on,terminated_on,municipalities,total_members,members_from_hobo,n_members_from_hobo,pct_members_from_hobo
22,BOCOV - združenie obcí,"Hlavná 177/5, 07617 Nižný Žipov",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152347&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152347,ChIJYQ9Jl-gqP0cRvYU2Z6AXUxk,"Hlavná 177/5, 076 17 Nižný Žipov, Slovakia",48.5828337,21.6396296,45807981,07/04/2009,,"Nižný Žipov, Zemplínska Nová Ves, Stan?a",3,"Zemplínska Nová Ves, Stan?a, Nižný Žipov",3,100
50,Mikroregión IZRA - združenie obcí,"Hlavná 108, 07614 Micha?any",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=212010&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=212010,ChIJnycuX7UsP0cRDWQo8RmWRNk,"Hlavná 108, 076 14 Micha?any, Slovakia",48.5127721,21.6196361,42410070,19/08/2015,,"Micha?any, Kazimír, Lastovce, Brezina",4,"Micha?any, Lastovce, Kazimír, Brezina",4,100
55,Mikroregión obcí RO?AVA - združenie obcí,"Hlavná 108, 07614 Micha?any",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152320&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152320,ChIJnycuX7UsP0cRDWQo8RmWRNk,"Hlavná 108, 076 14 Micha?any, Slovakia",48.5127721,21.6196361,42093678,15/03/2007,,"Brezina, Byšta, ?e?ovce, Egreš, Kazimír, Kuzmice, Zemplínska Nová Ves, Luhy?a, Micha?any, Nižný Žipov, Slivník, Stan?a, Ve?aty, Lastovce",14,"?e?ovce, Zemplínska Nová Ves, Kuzmice, Egreš, Byšta, Luhy?a, Micha?any, Ve?aty, Lastovce, Stan?a, Kazimír, Slivník, Brezina, Nižný Žipov",14,100
63,Mikroregión Tarbucka - združenie obcí,"Ve?ký Kamenec 255, 07636 Ve?ký Kamenec",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152283&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152283,ChIJkYMQvrHFOEcR2gF9Iyjh_v8,"Ve?ký Kamenec 255, 076 36 Ve?ký Kamenec, Slovakia",48.358923,21.8065825,35560975,26/05/2004,,"Vini?ky, Somotor, Streda nad Bodrogom, Malý Kamenec, Klin nad Bodrogom, Zemplín, Ve?ký Kamenec, Ladmovce",8,"Ve?ký Kamenec, Somotor, Ladmovce, Klin nad Bodrogom, Malý Kamenec, Zemplín, Streda nad Bodrogom, Vini?ky",8,100
70,Olšavský mikroregión združenie obcí,"?urkov 274, 04419 ?urkov",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152253&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152253,ChIJK5ihSQ7ZPkcR5s2wj-eFKQU,"?urkov 274, 044 19 ?urkov, Slovakia",48.7076763,21.4430478,35548606,14/10/2002,,"Nižná Kamenica, Vyšná Kamenica, Košický Kle?enov, Rankovce, Svinica, Her?any, Bidovce, ?akanovce, ?ur?ošík, ?urkov, Olšovany, Trs?any",12,Olšovany,1,8
99,Regionálne združenie obcí Hornád,"Oslobodite?ov 651/22, 04414 ?a?a",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152244&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152244,ChIJv93dwrkmP0cR_PH21yF-IwA,"22, Oslobodite?ov 651, 044 14 ?a?a, Slovakia",48.6072102,21.3307105,31965041,04/12/2000,,"?a?a, Ge?a, Gy?ov, Kokšov-Bakša, Nižná Hutka, Nižná Myš?a, Žda?a, Skároš, Trstené pri Hornáde, Valaliky, Vyšná Hutka, Vyšná Myš?a, Se?a",13,"Žda?a, Skároš, Gy?ov, Nižná Myš?a, ?a?a, Se?a, Kokšov-Bakša, Ge?a, Valaliky, Vyšná Myš?a, Trstené pri Hornáde, Nižná Hutka, Vyšná Hutka",13,100
100,Regionálne združenie obcí Košice - okolie,"Oslobodite?ov 22, 04414 ?a?a",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152319&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152319,ChIJKfw1SbcmP0cR5kcKnnSYKvQ,"Oslobodite?ov 22/43, 044 14 ?a?a, Slovakia",48.6067119,21.3277258,42101115,06/03/2007,,"Blažice, Bohdanovce, Kalša, Nižný ?aj, Nový Salaš, Rákoš, Ruskov, Slanec, Slan?ík, Slanská Huta, Slanské Nové Mesto, Vyšný ?aj, Bidovce, ?akanovce, ?ur?ošík, ?urkov, Her?any, Košický Kle?enov, Nižná Kamenica, Olšovany, Rankovce, Svinica, Trs?any, Vyšná Kamenica, Ba?kovík, Boliarov, Bunetice, ?ižatice, Kecerovce, Kecerovský Lipovec, Mudrovce, Opiná, Vtá?kovce, Belža, ?a?a, Ge?a, Gy?ov, Kokšov-Bakša, Košická Polianka, Nižná Hutka, Nižná Myš?a, Se?a, Skároš, Soko?any, Trstené pri Hornáde, Valaliky, Vyšná Hutka, Vyšná Myš?a, Žda?a, Haniska, Hrašovík, Ploské, Nová Polhora, Sady nad Torysou, Beniakovce, Vajkovce, Košické O?šany, Krá?ovce, Budimír, Chrastné, Rozhanovce, Obišovce, Kysak, Kosto?any nad Hornádom, Soko?, Družstevná pri Hornáde, Malá Lodina, Ve?ká Lodina, Košická Belá, Opátka",70,"Žda?a, Haniska, Skároš, Olšovany, Slanské Nové Mesto, Gy?ov, Nižná Myš?a, Družstevná pri Hornáde, Ve?ká Lodina, Rákoš, Obišovce, Kalša, Bohdanovce, ?a?a, Nižný ?aj, Slanská Huta, Slanec, Se?a, Vyšný ?aj, Sady nad Torysou, Kokšov-Bakša, Slan?ík, Belža, Ge?a, Nový Salaš, Ruskov, Kysak, Valaliky, Vyšná Myš?a, Malá Lodina, Blažice, Trstené pri Hornáde, Košická Polianka, Soko?, Soko?any, Nižná Hutka, Kosto?any nad Hornádom, Vyšná Hutka",38,54
112,ROVINA - združenie obcí,"Hlavná 27, 07605 Zemplínske Jastrabie",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152275&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152275,EjJIbGF2bsOhIDI3LCAwNzYgMDUgWmVtcGzDrW5za2UgSmFzdHJhYmllLCBTbG92YWtpYSIaEhgKFAoSCYegMgA00ThHEXbKSCJE-Z9xEBs,"Hlavná 27, 076 05 Zemplínske Jastrabie, Slovakia",48.4991904,21.7757631,35558644,19/02/2004,,"Zemplínske Jastrabie, Cejkov, Novosad, Zemplínsky Bran?, Kašov, Sirník, Kysta, Brehov, Hra?, Hr?e?",10,"Kašov, Brehov, Zemplínsky Bran?, Kysta, Hra?, Hr?e?, Zemplínske Jastrabie, Sirník, Novosad, Cejkov",10,100
122,"TICCE MIKROREGIÓN, združenie obcí","Hlavná 241/45, 07653 Zatín",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152272&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152272,ChIJ9ew2OSraOEcRekz58X0ZJW0,"Hlavná 241/45, 076 53 Zatín, Slovakia",48.4754868,21.9044927,35556056,18/11/2003,,"Bo?, Po?any, Rad, Zatín, Svätá Mária, Svinice, Vojka, So?ni?ka",8,"Svätá Mária, Rad",2,25
164,Združenie miest a obcí regiónu Južného Zemplína,"M.R. Štefánika 862/204, 07525 Trebišov",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=211716&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=211716,ChIJ5-xEKMgqOUcRGrMi1Z4bg4c,"M. R. Štefánika 862/204, 075 01 Trebišov, Slovakia",48.6190079,21.7191003,42102855,19/09/2008,,"Ba?kov, Zbeh?ov, Brezina, Byšta, Cejkov, ?e?ovce, ?erhov, Dargov, Dvorianky, Egreš, Hra?, Hr?e?, Hriadky, Kašov, Kazimír, Kožuchov, Kravany, Kuzmice, Kysta, Lastovce, Luhy?a, Malá T??a, Malé Ozorovce, Micha?any, Nižný Žipov, Novosad, Nový Ruskov, Parchovany, Plechotice, Se?ovce, Sirník, Slivník, Slovenské Nové Mesto, Stan?a, Stankovce, Trebišov, Trnávka, Ve?aty, Ve?ká T??a, Ve?ké Ozorovce, Viš?ov, Voj?ice, Zemplínska Nová Ves, Zemplínska Teplica, Zemplínske Hradište, Zemplínske Jastrabie, Zemplínsky Bran?, Brehov",48,"Kašov, Brehov, Zemplínsky Bran?, Malá T??a, ?e?ovce, Zemplínske Hradište, Zemplínska Nová Ves, Kuzmice, Kysta, Hra?, Hr?e?, Egreš, Byšta, Luhy?a, Slovenské Nové Mesto, Zemplínske Jastrabie, Plechotice, Sirník, Micha?any, Ve?aty, Lastovce, Novosad, Stan?a, Cejkov, Kožuchov, Kazimír, Trebišov, Zemplínska Teplica, Slivník, ?erhov, Brezina, Ve?ká T??a, Nižný Žipov",33,69
172,Združenie miet a obcí Medzibodrožia,"?. Kossutha 99, 07701 Krá?ovský Chlmec",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152027&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152027,ChIJg2iSx1fcOEcRrasZirj9vF0,"?. Kossutha, 077 01 Krá?ovský Chlmec, Slovakia",48.4208503,21.9818105,31951309,12/03/1993,,"Ve?ký Kamenec, Bo?, Bo?any, ?ernochov, Svätuše, Malý Horeš, Biel, Vojka, Po?any, Zatín, Ve?ké Trakany, Krá?ovský Chlmec, Borša, Dobrá, Pribeník, Ba?ka, Svinice, Svätá Mária, ?ierna nad Tisou, Ladmovce, Somotor",21,"Ve?ký Kamenec, ?ernochov, Somotor, Ladmovce, Svätá Mária, Borša",6,29
186,"Združenie obcí ""Mili?""","Skároš 91, 04411 Skároš",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152260&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152260,ChIJr946i3omP0cRt-2D59otmhs,"Skároš 91, 044 11 Skároš, Slovakia",48.5890584,21.3770688,35554789,21/08/2003,,"Nový Salaš, Slanská Huta, Slanec, Skároš",4,"Skároš, Slanská Huta, Slanec, Nový Salaš",4,100
229,Združenie obcí BOCOV II,"Hlavná ulica 177/5, 07617 Nižný Žipov",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=228262&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=228262,ChIJYQ9Jl-gqP0cRvYU2Z6AXUxk,"Hlavná 177/5, 076 17 Nižný Žipov, Slovakia",48.5828337,21.6396296,53916387,30/06/2021,,"Zemplínska Nová Ves, Stan?a, Obec ?e?ovce, Plechotice, Egreš, Nižný Žipov",6,"Zemplínska Nová Ves, Egreš, Plechotice, Stan?a, Nižný Žipov",5,83
276,"Združenie obcí Malé Ozorovce, Ve?ké Ozorovce, Zbeh?ov, Zemplínska Teplica","Hlavná ulica 68/30A, 07801 Zbeh?ov",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152277&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152277,EjIzMGEsIEhsYXZuw6EgNjgsIDA3OCAwMSBWZcS-a8OpIE96b3JvdmNlLCBTbG92YWtpYSIjGiEKGhIYChQKEgnz5vAHgNY-RxFrk6Dhb7Ib2hBEEgMzMGE,"30a, Hlavná 68, 078 01 Ve?ké Ozorovce, Slovakia",48.6618725,21.6110741,35559853,11/03/2004,,"Zemplínska Teplica, Malé Ozorovce, Zbeh?ov, Ve?ké Ozorovce",4,Zemplínska Teplica,1,25
331,Združenie obcí Olšavského a Slanského regiónu,"?urkov 274, 04419 ?urkov",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152246&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152246,ChIJK5ihSQ7ZPkcR5s2wj-eFKQU,"?urkov 274, 044 19 ?urkov, Slovakia",48.7076763,21.4430478,31256601,03/12/2001,,"Ba?kovík, Rankovce, Blažice, Boliarov, Bunetice, ?akanovce, ?ižatice, ?ur?ošík, ?urkov, Her?any, Kecerovce, Kecerovský Lipovec, Košický Kle?enov, Mudrovce, Nižná Kamenica, Nižný ?aj, Olšovany, Ruskov, Svinica, Trs?any, Vtá?kovce, Vyšná Kamenica, Vyšný ?aj, Opiná, Bidovce",25,"Olšovany, Nižný ?aj, Vyšný ?aj, Ruskov, Blažice",5,20
370,Združenie obcí Slanského mikroregiónu,"OcÚ Slanec 85, 04417 Slanec",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152269&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152269,ChIJo3QJfwUoP0cRs_ZvOdL2-K0,"Hlavná 55/114, 044 17 Slanec, Slovakia",48.6354108,21.4756051,35555831,04/11/2003,,"Blažice, Bohdanovce, Kalša, Nový Salaš, Rákoš, Slan?ík, Slanské Nové Mesto, Slanská Huta, Slanec, Nižný ?aj, Ruskov, Vyšný ?aj",12,"Slanské Nové Mesto, Rákoš, Kalša, Bohdanovce, Nižný ?aj, Slanská Huta, Slanec, Vyšný ?aj, Slan?ík, Nový Salaš, Ruskov, Blažice",12,100
380,Združenie obcí Torysa-net,"Beniakovce 44, 04442 Beniakovce",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152299&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152299,ChIJXYvJS_jdPkcRDUMihIhWllE,"Beniakovce 44, 044 42 Beniakovce, Slovakia",48.769511,21.3175154,35568291,18/07/2005,,"Nová Polhora, Ploské, Krá?ovce, Vajkovce, Beniakovce, Hrašovík, Vyšná Hutka, Sady nad Torysou, Košická Polianka, Seniakovce, Rozhanovce, Bretejovce, Košické O?šany",13,"Sady nad Torysou, Košická Polianka, Vyšná Hutka",3,23
381,Združenie obcí Torysského mikroregiónu,"Nová Polhora 95, 04444 Nová Polhora",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152261&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152261,ChIJw5cCeMXnPkcRNZpv4YIk6Q8,"Nová Polhora 95, 044 44 Nová Polhora, Slovakia",48.8318467,21.3160779,35555157,16/09/2003,,"Nová Polhora, Ploské, Krá?ovce, Budimír, Vajkovce, Košická Polianka, Beniakovce, Rozhanovce, Hrašovík, Košické O?šany, Sady nad Torysou, Chrastné",12,"Sady nad Torysou, Košická Polianka",2,17
408,Združenie prihrani?ných obcí pre VK?OV,"Hlavná 306/42, 07614 Lastovce",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152245&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152245,ChIJV0JVeVorP0cRuVJmqWVEoR8,"42, Hlavná 306, 076 14 Lastovce, Slovakia",48.5398116,21.6263692,35536225,09/03/2001,,"Lastovce, Micha?any, Luhy?a, Brezina, Kazimír",5,"Luhy?a, Micha?any, Lastovce, Kazimír, Brezina",5,100
241,Združenie obcí dolného Potorysia,"Ortášska 85, 04018 Nižná Hutka",https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152289&full,https://ives.minv.sk/rez/registre/pages/detailzzob.aspx?id=152289,Ei1PcnTDocWhc2thIDg1LCAwNDAgMTggTmnFvm7DoSBIdXRrYSwgU2xvdmFraWEiGhIYChQKEgkzF6TdTSc_RxH5Eu6mNkrPfxBV,"Ortášska 85, 040 18 Nižná Hutka, Slovakia",48.6566191,21.3595862,45807850,11/10/2004,,"Košická Polianka, Vyšná Hutka, Nižná Hutka",3,"Košická Polianka, Nižná Hutka, Vyšná Hutka",3,100
